'Company Name', 'Internationale Vorwahl', 'Telefon', 'Telefax', 'Email', 'Internet', 'Bankverbindung', 'Straße-Adresse', 'Hausnummer', 'PLZ', 'Ort', 'Regierungsbezirk', 'Bundesland', 'Land', 'Zusätzl. Informationen', 'Rechtsform (kurz)', 'Hauptbranche WZ 2008', 'Top-Management'
"agru" Oberflächentechnik Gesellschaft m.b.H.,+43,07257 76960,07257 769641, office.gb@agru.at, www.agru.net,UniCredit Bank Austria AG 4020 Linz? Raiffeisenbank Region Sierning registrierte Genossenschaft mit beschränkter Haftung 4540 Bad Hall? Sparkasse Kremstal-Pyhrn Aktiengesellschaft 4540 Bad Hall (12800? 34560? 20315),Steyrstraße,31,4594,Grünburg,Kirchdorf an der Krems,Oberösterreich,AT,Grünburg,GmbH,25610Oberflächenveredlung und Wärmebehandlung,Geschäftsführer? vertritt seit 23.02.1989 selbständig|Mag. Alois Gruber (m)f400051784#p400051784?400163343?120iconCompProfLink1957? Bad Hall|N/A|23.02.1989|!Geschäftsleitung? vertritt seit 03.04.2012 selbständig|Alexander Gruber (m)f400051784#p400051784?401737925?131iconCompProfLink1988? Bad Hall|Prokura|06.04.2012|!Geschäftsleitung? vertritt seit 28.05.2015 selbständig|Alois Gruber (m)f400051784#p400051784?401747778?131iconCompProfLink1985? Bad Hall|Prokura|02.06.2015|
"Aida" Produktionsgesellschaft m.b.H. & Co. KG.,+43,01 25826110,01 258261130, info@aida.at, www.aida.at,VOLKSBANK WIEN AG 1090 Wien (43000),Schönthalergasse,1,1210,Wien,Korneuburg,Wien,AT,Wien,KG,10710Herstellung von Backwaren (ohne Dauerbackwaren),Geschäftsleitung? vertritt seit 10.07.1986 selbständig|Michael Prousek (m)f400003186#p400003186?400096211?131iconCompProfLink1952? Klosterneuburg|Prokura|26.08.1986|
"Aktiva" Personalmanagement GmbH,+43,05574 58542,05574 5854214, office@aktivapersonal.at, www.aktivapersonal.at,SPARKASSE BREGENZ Bank AG 6971 Hard (20601),Hofsteigstraße,99,6971,Hard,Bregenz,Vorarlberg,AT,Hard,GmbH,78300Sonstige Überlassung von Arbeitskräften,Geschäftsführer? vertritt seit 23.02.2006 selbständig|Nail Kuscu (m)f401534204#p401534204?401534206?120iconCompProfLink1973? Bregenz|N/A|23.02.2006|
"AKTUELL" Raiffeisen Versicherungs-Maklerdienst Gesellschaft m.b.H.,+43,05 01030,01 516223934, office@aktuell.co.at, www.aktuell.co.at,RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG 1020 Wien (32000),Friedrich-Wilhelm-Raiffeisen-Platz,1,1020,Wien,Wien  2.?Leopoldstadt,Wien,AT,Wien,GmbH,66220Tätigkeit von Versicherungsmaklerinnen und -maklern,Geschäftsführer? vertritt seit 25.11.2013 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Manfred Aschauer (m)f400320295#p400320295?400619790?120iconCompProfLink1958? Preßbaum|N/A|05.12.2013|!Geschäftsführer? vertritt seit 01.04.2011 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Stefan Kojalek (m)f400320295#p400320295?401672335?120iconCompProfLink1969? Graz|N/A|28.04.2011|!Geschäftsführer? vertritt seit 01.01.2006 gemeinsam mit einem weiteren Geschäftsführer oder einem Gesamtprokuristen|Dr. Günther Reisel (m)f400320295#p400320295?400628273?120iconCompProfLink1956? Wien|N/A|31.08.1993|!Geschäftsleitung? vertritt seit 01.01.2012 gemeinsam mit einem Geschäftsführer|Mag. Jean-Baptiste Agnes (m)f400320295#p400320295?402283390?131iconCompProfLink1976? Wien|Prokura|27.01.2012|!Geschäftsleitung? vertritt seit 17.03.2014 gemeinsam mit einem Geschäftsführer wobei die Vertretungsbefugnis beschränkt ist auf die Zweigniederlassung 003.|Michael Hafner (m)f400320295#p400320295?400460910?131iconCompProfLink1960? Wölfnitz|Prokura|04.08.2009|!Geschäftsleitung? vertritt seit 07.07.2014 gemeinsam mit einem Geschäftsführer wobei die Vertretungsbefugnis beschränkt ist auf die Zweigniederlassung 002.|Mag. Peter Kremers (m)f400320295#p400320295?402444294?131iconCompProfLink1962? Graz|Prokura|27.08.2014|!Geschäftsleitung? vertritt seit 01.07.2009 gemeinsam mit einem Geschäftsführer|Mag. Thomas Neumayr (m)f400320295#p400320295?401833526?131iconCompProfLink1979? Wien|Prokura|04.08.2009|!Geschäftsleitung? vertritt seit 15.04.2010 gemeinsam mit einem Geschäftsführer wobei die Vertretungsbefugnis beschränkt ist auf die Zweigniederlassung 001.|Karin Scheiblhofer (w)f400320295#p400320295?401563941?131iconCompProfLink1961? Gallneukirchen|Prokura|25.04.2007|
"ALBAN" Bau GmbH,+43,01 7865305,01 7865305, office@albanbau.at,N/A,Erste Bank der österreichischen Sparkassen AG 1010 Wien (20111),Arnsteingasse,5,1150,Wien,Wien 15.?Rudolfsheim-Fünfhaus,Wien,AT,Wien,GmbH,41201Bau von Gebäuden (ohne Fertigteilbau),Geschäftsführer? vertritt seit 19.03.2002 selbständig|Nderim Istrefi (m)f401282587#p401282587?401282588?120iconCompProfLink1974? Wien|N/A|19.03.2002|
"Alda" Reisebüro Gesellschaft m.b.H.,+43,01 4021626,01 402162641, office@alda.at, www.alda.at,Erste Bank der österreichischen Sparkassen AG 1010 Wien (20111),Dresdner Straße,68,1200,Wien,Wien 20.?Brigittenau,Wien,AT,Wien,GmbH,79110Reisebüros,Geschäftsführer? vertritt seit 20.03.2015 selbständig|Brigitte Ziegler (w)f400003198#p400003198?402480643?120iconCompProfLink1977? Wien|N/A|31.03.2015|
"ALEXANDROS" Import Export Gesellschaft mbH,+43,01 6998491,01 6998493, alexandros@alexandros.at, www.alexandros.at,Erste Bank der oesterreichischen Sparkassen AG 2351 Wr. Neudorf? UniCredit Bank Austria AG 1030 Wien (20111? 20151),Ötzeltgasse/Eisgrubengasse,2-6,2334,Vösendorf,Mödling,Niederösterreich,AT,Vösendorf,GmbH,46389Großhandel mit Nahrungs- und Genussmitteln a. n. g.,Geschäftsführer? vertritt seit 09.03.2010 selbständig|Anastasios Sogantzis (m)f400848022#p400848022?402001697?120iconCompProfLink1982? Perchtoldsdorf|N/A|16.03.2010|!Geschäftsführer? vertritt seit 04.12.1996 selbständig|Dimitrios Sogantzis (m)f400848022#p400848022?400848024?120iconCompProfLink1958? Perchtoldsdorf|N/A|25.05.1996|
"ALLROUND-REINIGUNGSDIENST" Cicic KG,+43,N/A,N/A, N/A,N/A,N/A,Adalbert-Stifter-Straße,69,1200,Wien,Wien 20.?Brigittenau,Wien,AT,Wien,KG,81210Allgemeine Gebäudereinigung,N/A
"Almdudler-Limonade" A. & S. Klein GmbH & Co KG,+43,01 37036360,01 370363690, info@almdudler.com, www.almdudler.com,UniCredit Bank Austria AG 1030 Wien (20151),Grinzinger Allee,16,1190,Wien,Wien 19.?Döbling,Wien,AT,Wien,KG,82999Erbringung von anderen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g.,
"Alpen-Merkur-Maurer" Befestigungsmaterial Handelsgesellschaft m.b.H.,+43,0800 201204,0316 711962, office@alpen-merkur.at, www.alpen-merkur.at,Steiermärkische Bank und Sparkassen Aktiengesellschaft 8950 Stainach (20815),Lazarettgürtel,90,8020,Graz,Graz(Stadt),Steiermark,AT,Graz,GmbH,46741Großhandel mit Werkzeugen und Kleineisenwaren,Geschäftsführer? vertritt seit 19.04.2016 gemeinsam mit einem/einer weiteren Geschäftsführer/in|Daniel Maurer (m)f400050166#p400050166?402565492?120iconCompProfLink1990? St. Radegund bei Graz|N/A|21.05.2016|!Geschäftsführer? vertritt seit 19.04.2016 gemeinsam mit einem/einer weiteren Geschäftsführer/in|Gerhild Maurer (w)f400050166#p400050166?400161607?120iconCompProfLink1967? St. Radegund bei Graz|N/A|21.05.2016|!Geschäftsführer? vertritt seit 22.05.1987 selbständig|Markus Maurer (m)f400050166#p400050166?400161605?120iconCompProfLink1966? St. Radegund bei Graz|N/A|01.07.1982|
"ALPHAGOLD" Schmuck- und Uhrenvertriebsgesellschaft m.b.H.,+43,0732 6533320,0732 65333213, office@alphagold.at, www.leclou.at,Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft 4020 Linz? Schoellerbank Aktiengesellschaft 1010 Wien? UniCredit Bank Austria AG 4020 Linz (20320? 19200? 12800),Kaplanhofstraße,3,4020,Linz,Linz(Stadt),Oberösterreich,AT,Linz,GmbH,47770Einzelhandel mit Uhren und Schmuck ,Geschäftsführer? vertritt seit 21.06.1990 selbständig|Dr. Niklas Johannes Fuchshuber (m)f400074608#p400074608?401199695?120iconCompProfLink1961? Linz|N/A|21.06.1990|!Geschäftsleitung? vertritt seit 18.03.2014 selbständig|Iris Fuchshuber (w)f400074608#p400074608?402420470?131iconCompProfLink1969|Prokura|27.03.2014|
"Alternativ" Installationen GmbH,+43,07734 34014,07734 3401415, office@a-i.at, www.a-i.at,Raiffeisenbank Region Hausruck reg.Gen.m.b.H. 4716 Hofkirchen an der Trattnach? Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft Zweigniederlassung Grieskirchen 4710 Grieskirchen (34250? 20320),Bergstraße,5,4716,Hofkirchen an der Trattnach,Grieskirchen,Oberösterreich,AT,Hofkirchen an der Trattnach,GmbH,43220Gas-? Wasser-? Heizungs- sowie Lüftungs- und Klimainstallation,Geschäftsführer? vertritt seit 20.12.2016 selbständig|Markus Auinger (m)f400926413#p400926413?402600428?120iconCompProfLink1978? Hofkirchen an der Trattnach|N/A|12.01.2017|!Geschäftsführer? vertritt seit 20.12.2016 selbständig|Christoph Flör (m)f400926413#p400926413?402600427?120iconCompProfLink1982? Rottenbach|N/A|12.01.2017|
"Altstadtkeller" Hotel- und Gaststättenbetriebs GmbH,+43,N/A,N/A, N/A,N/A,N/A,Dorfstraße,11,6393,St. Ulrich am Pillersee,Kitzbühel,Tirol,AT,St. Ulrich am Pillersee,GmbH,56101Restaurants mit herkömmlicher Bedienung,Geschäftsführer? vertritt seit 26.09.2002 selbständig|Anita Teresa Jessa-Valentin (w)f401324040#p401324040?401324042?120iconCompProfLink1961|N/A|10.12.2002|
"Altvater Gessler-J.A.Baczewski" Likörerzeugung Gesellschaft mbH.,+43,02247 7070,02247 707010, r.gessler@agjab.com, www.agjab.com,N/A,Strobelgasse,2,1010,Wien,Wien  1.?Innere Stadt,Wien,AT,Wien,GmbH,11010Herstellung von Spirituosen,Geschäftsführer? vertritt seit 27.03.2008 selbständig|Itamar Gessler (m)f400040548#p400040548?402504792?120iconCompProfLink1957|N/A|15.09.2015|!Geschäftsführer? vertritt seit 24.05.2002 selbständig|Rasiel Gessler (m)f400040548#p400040548?401310502?120iconCompProfLink1953|N/A|11.09.2002|
"ALWA" GÜTER- UND VERMÖGENSVER-WALTUNGS GmbH,+43,03683 2222,03683 222230, N/A,N/A,UniCredit Bank Austria AG 1030 Wien (20151),Donnersbach,9,8953,Donnersbach,Liezen,Steiermark,AT,Donnersbach,GmbH,01500Gemischte Landwirtschaft,Geschäftsführer? vertritt seit 08.03.2010 selbständig|Mag. Johann Keil (m)f400026066#p400026066?401296016?120iconCompProfLink1962? Donnersbach|N/A|12.03.2010|
"ALWAG" Tunnelausbau Gesellschaft m.b.H. in Liqu.,+43,07229 610490,07229 6104980, alwag@dywidag-systems.at, www.alwag.com,Raiffeisenlandesbank Oberösterreich AG 4050 Traun? Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft 4061 Pasching? Oberösterreichische Landesbank AG 4040 Linz (34500? 20320? 34000),Alfred-Wagner-Straße,1,4061,Pasching,Linz-Land,Oberösterreich,AT,Pasching,GmbH,25930Herstellung von Drahtwaren? Ketten und Federn,Liquidator? vertritt seit 31.01.2017 selbständig|Ingenieur Karl Böhm (m)f400503009#p400503009?400516965?160iconCompProfLink1966? Ansfelden|N/A|16.02.2017|
"ANABASIS" Reisen Gesellschaft m.b.H.,+43,0463 264787,0463 59294004, info@anabasis.at, www.anabasis.at,BKS Bank AG 9020 Klagenfurt (17000),Linsengasse,60,9020,Klagenfurt,Klagenfurt(Stadt),Kärnten,AT,Klagenfurt,GmbH,79110Reisebüros,Geschäftsführer? vertritt seit 17.04.1992 selbständig|Dr. Maximilian Grothaus (m)f400087228#p400087228?400868278?120iconCompProfLink1957? Klagenfurt|N/A|25.02.1992|
"Anton Weindl KG.",+43,07252 828300,07252 8283034, baustoffe@weindl.at, www.weindl.at,VOLKSKREDITBANK AG 4400 Steyr (18600),Kaserngasse,2,4400,Steyr,Steyr(Stadt),Oberösterreich,AT,Steyr,eK,47523Einzelhandel mit Anstrichmitteln? Bau- und Heimwerkerbedarf,N/A
"AO DA" Handels GmbH,+43,01 8176501,01 81650189, office@aoda.at? 		service@aoda.info, www.aoda.info,UniCredit Bank Austria AG 1030 Wien (20151),Richard-Strauss-Straße,21,1230,Wien,Wien 23.?Liesing,Wien,AT,Wien,GmbH,46389Großhandel mit Nahrungs- und Genussmitteln a. n. g.,Geschäftsführer? vertritt seit 22.03.2001 selbständig|Xuyong Zhou (m)f401215727#p401215727?400658569?120iconCompProfLink1971? Wien|N/A|22.03.2001|
"Apollo - Film" GmbH & Co KG,+43,02772 54001,N/A, N/A,N/A,N/A,Neubaugasse,25,1070,Wien,Wien  7.?Neubau,Wien,AT,Wien,KG,59130Filmverleih und -vertrieb (ohne Videotheken),N/A
"Apotheke am Stadtplatz, Mag. pharm. Robert Marschhofer e.U.",+43,07673 2389,07673 23716, apotheke@schwanenstadt.at, www.apothekeamstadtplatz.at? 		  www.schwanenstadt.at/apotheke,N/A,Stadtplatz,51,4690,Schwanenstadt,Vöcklabruck,Oberösterreich,AT,Schwanenstadt,eK,47730Apotheken,N/A
"Apotheke Breitenlee", Mag.pharm. Albert Riess KG,+43,01 7344343,01 734434343, service@apotheke-breitenlee.at, www.apotheke-breitenlee.at,N/A,Arnikaweg,117,1220,Wien,Wien 22.?Donaustadt,Wien,AT,Wien,KG,47730Apotheken,N/A
"Apotheke zum Heiligen Josef" Mag. pharm Günther Zigart KG,+43,03852 2433,03852 243315, N/A,N/A,N/A,Wiener Straße,27,8680,Mürzzuschlag,Mürzzuschlag,Steiermark,AT,Mürzzuschlag,KG,47730Apotheken,N/A
"Apotheke zum Kaiser Franz" Mag. pharm. Bruno Baumgartner KG,+43,07742 2437,07742 24375, office@apokaiserfranz.at, www.apokaiserfranz.at,RAIFFEISENBANK MATTIGTAL reg.Gen.m.b.H. 5230 Mattighofen? Salzburger Sparkasse Bank Aktiengesellschaft 5230 Mattighofen (34303? 20321),Stadtplatz,37,5230,Mattighofen,Braunau am Inn,Oberösterreich,AT,Mattighofen,KG,47730Apotheken,N/A
"Apotheke zum Schutzengel" Mag. pharm. Susanne Bahr.,+43,01 81363740,01 8136848, apo.schutzengel12@inode.at, www.apotheke-schutzengel.at,N/A,Meidlinger Hauptstraße,45,1120,Wien,Wien 12.?Meidling,Wien,AT,Wien,eK,47730Apotheken,N/A
"Apotheke zur hl. Dreifaltigkeit" Mag. pharm. Herbert Griessler KG.,+43,02233 524370,02233 524374, apotheke.pressbaum@aon.at, www.apotheke-pressbaum.at,N/A,Hauptstraße,1,3021,Preßbaum,Wien-Umgebung,Niederösterreich,AT,Preßbaum,KG,47730Apotheken,N/A
"Apotheke zur Kaiserkrone" Mag. pharm. Uwe Schehl KG,+43,01 52626460,01 5262647, apo@kaiserkrone.at, www.kaiserkrone.at,Österreichische Apothekerbank eG 1090 Wien (44220),Mariahilfer Straße,110,1070,Wien,Wien  7.?Neubau,Wien,AT,Wien,KG,47730Apotheken,
"Apotheke zur Mariahilf" Mag. pharm. Brigitta Spörer KG,+43,02746 2223,02746 2223, N/A, www.medizinmann.cc,N/A,Obere Hauptstraße,7,3150,Wilhelmsburg an der Traisen,Lilienfeld,Niederösterreich,AT,Wilhelmsburg an der Traisen,KG,47730Apotheken,N/A
"ARRIGAS" Bau GmbH in Liquidation,+43,01 9421962,01 9421963, N/A,N/A,N/A,D'Orsay-Gasse,1,1090,Wien,Wien  9.?Alsergrund,Wien,AT,Wien,GmbH,41201Bau von Gebäuden (ohne Fertigteilbau),Liquidator? vertritt seit 16.06.2014 selbständig|Sanija Mehmedovic (m)f401315258#p401315258?400598126?160iconCompProfLink1962? Wien|N/A|21.06.2014|
"ASMAG" - Anlagenplanung und Sondermaschinenbau Gesellschaft m.b.H.,+43,07616 88010,07616 880144, sales@asmag.at, www.asmag.at,Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft 4020 Linz? Raiffeisenbank Grünau - St. Konrad - Scharnstein eGen 4645 Grünau im Almtal (20320? 34127),Liesenwaldstraße,3,4644,Scharnstein,Gmunden,Oberösterreich,AT,Scharnstein,GmbH,28290Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.,Geschäftsführer? vertritt seit 05.03.1984 selbständig|Ingenieur Johann Vielhaber (m)f400021673#p400021673?400130274?120iconCompProfLink1954? Grünau im Almtal|N/A|05.03.1984|!Geschäftsleitung? vertritt seit 29.08.2000 selbständig|Tina Maria Ettinger (w)f400021673#p400021673?401178378?131iconCompProfLink1975? Grünau im Almtal|Prokura|02.09.2000|
"AST" HOLZ- und WarenhandelsgesmbH,+43,N/A,N/A, N/A,N/A,N/A,Ulmenstraße,36,1140,Wien,Wien-Umgebung,Wien,AT,Wien,GmbH,47523Einzelhandel mit Anstrichmitteln? Bau- und Heimwerkerbedarf,Geschäftsführer? vertritt seit 15.04.2015 selbständig|Mag. Wolfgang Weninger (m)f401091345#p401091345?400981490?120iconCompProfLink1965? Wien|N/A|25.04.2015|
"ASTRO" Handelsgesellschaft m.b.H.,+43,02622 229790,02622 26856, office@astro.co.at, www.astro.co.at,Wiener Neustädter Sparkasse 2700 Wr. Neustadt? BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft 2700 Wr. Neustadt (20267? 14000),Pottendorfer Straße,37,2700,Wr. Neustadt,Wiener Neustadt(Stadt),Niederösterreich,AT,Wr. Neustadt,GmbH,47710Einzelhandel mit Bekleidung,Geschäftsführer? vertritt seit 12.12.2013 selbständig|Mag. Daniela Noitz (w)f400066184#p400066184?401491972?120iconCompProfLink1972? Bad Sauerbrunn|N/A|21.12.2013|!Geschäftsführer? vertritt seit 13.02.2004 selbständig|Maria Anna Strohmaier (w)f400066184#p400066184?400291522?120iconCompProfLink1949? Bad Sauerbrunn|N/A|17.02.2004|!Geschäftsleitung? vertritt seit 11.06.2014 selbständig|Helmut Strohmaier (m)f400066184#p400066184?400090102?131iconCompProfLink1942? Bad Sauerbrunn|Prokura|14.06.2014|
"ATAK" GastronomiebetriebsgmbH,+43,01 4060478,N/A, etap@chello.at, www.etapevent.at,N/A,Neulerchenfelder Straße,13,1160,Wien,Wien 16.?Ottakring,Wien,AT,Wien,GmbH,56101Restaurants mit herkömmlicher Bedienung,Geschäftsführer? vertritt seit 07.10.2016 selbständig|Ali Kocak (m)f401045014#p401045014?401045015?120iconCompProfLink1974? Wien|N/A|12.11.2016|
"ATMOSA" Petrochemie GmbH,+43,01 7062849,01 706284916, office@atmosa.at, www.atmosa.at,Raiffeisenbank Region Schwechat eGen 2320 Schwechat? UniCredit Bank Austria AG 2320 Schwechat (32823? 12000),Danubiastraße,21,2320,Schwechat,Wien-Umgebung,Niederösterreich,AT,Schwechat,GmbH,20590Herstellung von sonstigen chemischen Erzeugnissen a. n. g.,Geschäftsführer? vertritt seit 23.12.2006 selbständig|Chi-Cheng Liu (m)f401585801#p401585801?400516741?120iconCompProfLink1962? Schwechat|N/A|23.12.2006|
"Austria-Reederei" Schiffahrts-Gesellschaft m.b.H.,+43,N/A,01 3174154, N/A,N/A,N/A,Dorfstraße,12,2632,Grafenbach,Neunkirchen,Niederösterreich,AT,Grafenbach,GmbH,50200Güterbeförderung in der See- und Küstenschifffahrt,Geschäftsführer? vertritt seit 21.03.2012 selbständig|Mag. Jochen Schabus (m)f400301321#p400301321?401699470?120iconCompProfLink1979? Grafenbach|N/A|20.04.2012|
"AUSTYROL" DÄMMSTOFFE Gesellschaft m.b.H.,+43,02236 425040,02236 42570, office@austyrol.at, www.austyrol.at,Oberbank AG 2340 Mödling (15150),Dr. Heinrich Horny-Straße,2,2340,Mödling,Mödling,Niederösterreich,AT,Mödling,GmbH,22290Herstellung von sonstigen Kunststoffwaren,Geschäftsführer? vertritt seit 09.03.2007 selbständig|Ingenieur Thomas Schefzig (m)f400027332#p400027332?400135583?120iconCompProfLink1963? Klosterneuburg|N/A|21.03.2007|!Geschäftsleitung? vertritt seit 09.12.1988 selbständig|Johanna Schefzig (w)f400027332#p400027332?400135582?131iconCompProfLink1939? Klosterneuburg|Prokura|22.02.1994|!Geschäftsleitung? vertritt seit 09.03.2007 selbständig|Ingenieur Kurt Schefzig (m)f400027332#p400027332?400135581?131iconCompProfLink1936? Klosterneuburg|Prokura|21.03.2007|
"Auto Sporr & Planer KG",+43,02552 3132,02552 20297, auto@sporr-planer.at, www.sporr-planer.at? 		  m.sporr-planer.at? 		  sporr-planer.hyundai.at,Sparkasse Poysdorf AG 2170 Poysdorf (20246),Liechtensteinstraße,7,2170,Poysdorf,Mistelbach,Niederösterreich,AT,Poysdorf,KG,45110Handel mit Kraftwagen mit einem Gesamtgewicht von 3?5 t oder weniger,N/A
